species	Phylum	Class	Order	Family	Genus
Mycetohabitans endofungorum	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Mycetohabitans
Streptomyces indicus	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Paenisporosarcina antarctica	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina
Enterococcus thailandicus	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
Lactobacillus equigenerosi DSM 18793 = JCM 14505	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Neptunomonas japonica DSM 18939	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Neptunomonas
Brevibacterium album DSM 18261	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium
Methylomonas sp.	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas
Mycobacterium sp. MHSD3	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
Candidatus Magnetoglobus multicellularis str. Araruama	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Candidatus Magnetoglobus
Methylobacterium phyllosphaerae	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium
Blautia wexlerae DSM 19850	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Saccharopolyspora shandongensis	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora
Saccharopolyspora jiangxiensis	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora
Bradyrhizobium sp. UFLA03-84	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
Rhodobacter megalophilus	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter
Azoarcus olearius	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus
Litoricola lipolytica	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola
Azonexus hydrophilus DSM 23864	Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae	Azonexus
Marinobacter salsuginis SD-14B	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter
Salinicoccus albus DSM 19776	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Salinicoccus
Sneathiella glossodoripedis JCM 23214	Proteobacteria	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	Sneathiella
Filomicrobium insigne	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium
Streptomyces sp. CNQ-525	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
Nevskia soli DSM 19509	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Nevskia
Burkholderia plantarii	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
Prevotella amnii DSM 23384 = JCM 14753	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Alloscardovia omnicolens DSM 21503	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia
